#{"t_start": 1763241569.4602761, "env_id": "GridWorld-v0"}
r,l,t
-21.49,180,37.669446
-2.0,200,37.795457
-2.0,200,37.914443
-76.25,200,38.505148
-10.91,200,38.64889
-2.0,200,38.779889
-11.9,200,38.897892
-2.0,200,39.033477
-113.87,200,39.18417
-115.85,200,39.336587
5.08,196,39.466949
-2.99,200,39.607959
-2.99,200,39.742653
-2.0,200,39.876662
8.61,140,39.963653
-76.25,200,40.093653
-2.99,200,40.224661
-2.99,200,40.350926
-2.0,200,40.467927
-2.0,200,40.590934
-2.0,200,40.718926
-11.9,200,40.873315
-2.0,200,41.014319
8.86,115,41.081314
8.93,108,41.155315
8.65,136,41.262506
-2.0,200,41.391182
-2.0,200,41.512185
-2.99,200,41.642182
-2.99,200,41.771185
-2.99,200,42.327509
-3.98,200,42.447519
-2.99,200,42.570507
-2.0,200,42.706511
8.59,142,42.798507
-2.0,200,42.926509
-2.99,200,43.051509
-3.98,200,43.186931
-2.0,200,43.314931
-5.96,200,43.448874
8.95,106,43.517487
7.44,158,43.626995
-2.0,200,43.759995
-2.0,200,43.883999
-2.99,200,44.011024
-5.96,200,44.138017
-2.0,200,44.266292
-2.99,200,44.387368
-2.99,200,44.517367
-2.0,200,44.644367
-2.0,200,44.76737
-2.99,200,44.883618
-13.88,200,45.014619
-2.0,200,45.138616
-2.0,200,45.258626
-2.0,200,45.390629
-2.0,200,45.960342
-2.0,200,46.093342
-2.0,200,46.22234
-2.0,200,46.35134
-101.0,200,46.478342
-2.99,200,46.615342
-2.0,200,46.743342
-3.98,200,46.865343
-16.85,200,46.99734
-2.0,200,47.149783
-2.99,200,47.269784
-2.0,200,47.393292
-24.77,200,47.51929
-2.0,200,47.651799
-2.0,200,47.790277
-2.0,200,47.913845
-2.0,200,48.036845
-2.99,200,48.168849
-29.72,200,48.293846
-2.0,200,48.423846
-2.99,200,48.548848
-2.0,200,48.690356
-2.99,200,48.814355
-2.99,200,48.944355
-89.12,200,49.070355
-95.06,200,49.6225
-73.28,200,49.744291
-57.44,200,49.865293
-82.19,200,49.991532
-2.0,200,50.128665
-2.99,200,50.300987
-2.99,200,50.426368
-53.48,200,50.550368
-2.99,200,50.687368
-2.0,200,50.816367
-2.99,200,50.935631
-2.0,200,51.053631
-3.98,200,51.184752
-2.99,200,51.304748
-12.89,200,51.431749
-28.73,200,51.556142
-4.97,200,51.683145
-22.79,200,51.807147
-2.0,200,51.927142
-2.0,200,52.05049
-2.0,200,52.195776
-10.91,200,52.315092
-3.98,200,52.437093
-5.96,200,52.557609
-11.9,200,52.696069
-66.35,200,53.255071
-3.98,200,53.378065
-2.0,200,53.498065
-4.97,200,53.633073
-3.98,200,53.756065
-5.96,200,53.878065
-2.0,200,53.997067
-2.0,200,54.139416
-2.0,200,54.271421
-2.0,200,54.40101
-2.0,200,54.525012
-3.98,200,54.652024
-2.0,200,54.77401
-2.0,200,54.909011
-13.88,200,55.032013
-3.98,200,55.157011
-7.94,200,55.279014
-3.98,200,55.397074
-2.0,200,55.522196
-25.76,200,55.650198
-2.99,200,55.773196
-5.96,200,55.891198
-2.0,200,56.010197
-2.0,200,56.138618
-2.0,200,56.267626
-2.0,200,56.82202
-2.0,200,56.949528
-2.0,200,57.080528
-2.99,200,57.21053
-2.0,200,57.330531
-2.0,200,57.454863
-3.98,200,57.588864
-5.96,200,57.714863
-4.97,200,57.838863
-2.99,200,57.958863
-2.99,200,58.096863
-2.99,200,58.220863
-2.0,200,58.339867
-2.0,200,58.463864
-2.0,200,58.598328
-2.0,200,58.734386
-2.0,200,58.857387
-2.99,200,58.986387
-2.0,200,59.121386
-2.0,200,59.243388
-2.0,200,59.36339
-2.0,200,59.483964
-2.99,200,59.614965
-2.0,200,59.736964
-2.0,200,59.860964
-2.0,200,60.415761
-2.0,200,60.547759
-2.0,200,60.67176
-2.0,200,60.805552
-2.99,200,60.92614
-3.98,200,61.061464
-2.99,200,61.180452
-3.98,200,61.304453
-2.0,200,61.422917
-2.0,200,61.557919
-2.99,200,61.68192
-2.99,200,61.817605
-2.99,200,61.941602
-3.98,200,62.072612
-2.99,200,62.191604
-2.0,200,62.312604
-2.0,200,62.437608
-2.0,200,62.613742
-2.99,200,62.733741
-2.99,200,62.865742
-2.0,200,63.006131
-2.0,200,63.140826
-3.98,200,63.263833
-2.0,200,63.385831
-3.98,200,63.505836
-2.0,200,64.049139
-2.0,200,64.179139
-2.0,200,64.300137
-2.0,200,64.418137
-2.0,200,64.543137
-2.0,200,64.66814
-3.98,200,64.787138
-3.98,200,64.914138
-2.99,200,65.05415
-2.99,200,65.183457
-2.0,200,65.326198
-2.0,200,65.449197
-2.0,200,65.5832
-2.0,200,65.711197
-2.0,200,65.8362
-2.99,200,65.963197
-2.99,200,66.094201
-3.98,200,66.224197
-2.0,200,66.348205
-2.99,200,66.467199
-3.98,200,66.608514
-3.98,200,66.735517
-2.99,200,66.858567
-2.0,200,66.9796
-2.0,200,67.121517
-3.98,200,67.699181
-2.99,200,67.818217
-2.0,200,67.952712
-2.99,200,68.091459
-2.99,200,68.208457
-2.0,200,68.32746
-2.99,200,68.451464
-2.0,200,68.577831
-2.0,200,68.708046
-2.99,200,68.84257
-2.0,200,68.973565
-2.0,200,69.124889
-2.99,200,69.259878
-2.0,200,69.394132
-2.0,200,69.522989
-2.0,200,69.663172
-3.98,200,69.795227
-2.99,200,69.926329
-3.98,200,70.046318
-2.99,200,70.179599
-2.0,200,70.306519
-2.99,200,70.426759
-2.0,200,70.548756
-2.99,200,70.685757
-3.98,200,70.803758
-3.98,200,71.342846
-5.96,200,71.461918
-3.98,200,71.596683
-3.98,200,71.72354
-2.0,200,71.849617
-2.0,200,71.972539
-2.0,200,72.104545
-2.99,200,72.234004
-2.0,200,72.358005
-14.87,200,72.481004
-8.93,200,72.619362
-4.97,200,72.74537
-2.99,200,72.865365
-2.0,200,72.987441
-2.99,200,73.123362
-4.97,200,73.258371
-4.97,200,73.375364
-2.0,200,73.500369
-2.99,200,73.646498
-4.97,200,73.793915
-4.97,200,73.938524
-3.98,200,74.066739
-2.99,200,74.273645
-9.92,200,74.408029
-3.98,200,74.535629
