#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
14.009952,118,41.230713
99.096433,1000,41.883464
2.048272,132,41.941458
-13.004959,132,41.998456
-109.533646,193,42.080514
-54.200215,131,42.303787
25.774191,105,42.352788
27.289119,116,42.406787
-20.317468,101,42.460787
-35.695853,151,42.529795
-52.055357,110,42.577799
-102.892599,117,42.627795
-88.965536,147,42.691795
-79.912163,110,42.738795
-11.424168,154,42.958789
-38.558233,170,43.037789
-12.764914,188,43.123797
-66.126028,109,43.170846
-65.823495,108,43.217789
-14.11252,145,43.278853
11.196122,120,43.329795
18.944698,188,43.584787
30.275628,1000,44.280606
-13.647859,159,44.363599
-45.238772,145,44.441614
-36.445253,162,44.510601
-208.044768,230,44.606609
-132.053899,152,44.670671
-161.888352,136,44.889599
-103.651363,136,44.954599
-0.59457,115,45.008599
-312.431394,158,45.086846
-5.917515,163,45.165844
-34.551243,142,45.226843
-30.708815,124,45.281844
-51.949019,125,45.338844
-143.438146,193,45.595838
-34.672559,108,45.649837
-35.708292,136,45.715845
-8.255904,143,45.778843
-30.426778,122,45.832847
-51.014731,182,45.916203
-4.495742,115,45.967036
-73.921218,134,46.181036
-66.718473,103,46.230036
-57.2831,118,46.286035
60.078557,1000,46.923035
4.789492,1000,47.549033
13.948263,127,47.612033
-33.240831,159,47.6821
28.003375,143,47.743037
-9.759943,131,47.797041
-113.175217,117,47.846041
-59.97797,99,48.059357
63.938701,1000,48.527984
3.149449,128,48.768919
-68.6502,124,48.833921
-46.196476,126,49.503921
-72.41025,168,49.57892
-38.125882,111,49.62592
-9.552729,166,49.697921
-19.210222,142,49.758921
-23.199648,150,49.978917
-17.643371,110,50.033917
-11.534829,136,50.099918
-48.00801,144,50.166925
20.475821,122,50.221377
-19.851834,154,50.290774
-9.764978,206,50.378778
-30.397926,134,50.613773
-193.605575,169,50.695769
-64.805259,169,50.779905
-154.724978,138,50.843965
-108.527971,140,50.901965
23.625585,137,50.96091
81.942568,1000,51.592904
-153.5666,158,51.658901
-158.049072,392,52.007901
-114.476527,178,52.087909
26.917895,187,52.167909
-112.307084,162,52.235969
-31.948369,188,52.493093
-75.377994,209,52.602096
-45.480322,134,52.677093
84.588444,1000,53.296094
-11.603522,156,53.367093
119.561557,1000,54.004096
69.432773,1000,54.636493
-29.441025,160,54.705483
-32.14978,158,54.772483
-10.192115,170,54.844493
12.231643,1000,55.473504
-39.87213,189,55.720505
12.309077,208,55.824504
-25.924841,189,55.917505
-81.243593,237,56.021505
101.832337,1000,56.646504
-19.901307,185,56.728446
-22.449816,178,56.977087
0.696148,148,57.052628
-7.248421,166,57.128626
-76.415127,156,57.203633
-218.84819,214,57.298631
-5.091104,140,57.358633
-29.452422,142,57.420633
-169.959943,224,57.69263
-43.019628,173,57.773629
-45.595521,187,57.860629
-69.940158,297,57.990629
-64.759501,185,58.072629
-33.013978,153,58.319626
14.329498,160,58.394626
-113.455131,248,58.504634
-25.595132,188,58.583634
25.583569,172,58.655634
-64.738559,200,58.932631
-124.721709,150,59.008755
-114.71064,280,59.137753
-6.261801,183,59.218745
-15.377548,201,59.303753
3.748781,190,59.547748
23.808669,202,59.649747
-97.381966,236,59.759747
-51.578185,192,59.843748
120.639301,1000,60.494923
